Short Name|Full Name
STATEFP|State FIPS Code
COUNTYFP|County FIPS Code
TRACTCE|Census Tract Code
BLKGRPCE|Block Group Code
GEOID|Geographic Identifier
NAMELSAD|Full Name
MTFCC|MAF/TIGER Feature Classification Code (G5030 = Block Group)
FUNCSTAT|Functional Status (S = Statistical)
ALAND10|Land Area (square meters)
AWATER|Water Area (square meters)
INTPTLAT|Internal Point Latitude
INTPTLON|Internal Point Longitude
geo_id|Unique Identifier of Summary Level, Characteristic Iteration, US, State, County, Tract, Block Group Code
GEOID|Unique Identifier of Summary Level, Characteristic Iteration, US, State, County, Tract, Block Group Code
b01001e1|SEX BY AGE - Universe:  Total population - Total: -- (Estimate)
b01001m1|SEX BY AGE - Universe:  Total population - Total: -- (Margin of Error)
b01001e2|SEX BY AGE - Universe:  Total population - Total:  Male: -- (Estimate)
b01001m2|SEX BY AGE - Universe:  Total population - Total:  Male: -- (Margin of Error)
b01001e3|SEX BY AGE - Universe:  Total population - Total:  Male:  Under 5 years -- (Estimate)
b01001m3|SEX BY AGE - Universe:  Total population - Total:  Male:  Under 5 years -- (Margin of Error)
b01001e4|SEX BY AGE - Universe:  Total population - Total:  Male:  5 to 9 years -- (Estimate)
b01001m4|SEX BY AGE - Universe:  Total population - Total:  Male:  5 to 9 years -- (Margin of Error)
b01001e5|SEX BY AGE - Universe:  Total population - Total:  Male:  10 to 14 years -- (Estimate)
b01001m5|SEX BY AGE - Universe:  Total population - Total:  Male:  10 to 14 years -- (Margin of Error)
b01001e6|SEX BY AGE - Universe:  Total population - Total:  Male:  15 to 17 years -- (Estimate)
b01001m6|SEX BY AGE - Universe:  Total population - Total:  Male:  15 to 17 years -- (Margin of Error)
b01001e7|SEX BY AGE - Universe:  Total population - Total:  Male:  18 and 19 years -- (Estimate)
b01001m7|SEX BY AGE - Universe:  Total population - Total:  Male:  18 and 19 years -- (Margin of Error)
b01001e8|SEX BY AGE - Universe:  Total population - Total:  Male:  20 years -- (Estimate)
b01001m8|SEX BY AGE - Universe:  Total population - Total:  Male:  20 years -- (Margin of Error)
b01001e9|SEX BY AGE - Universe:  Total population - Total:  Male:  21 years -- (Estimate)
b01001m9|SEX BY AGE - Universe:  Total population - Total:  Male:  21 years -- (Margin of Error)
b01001e10|SEX BY AGE - Universe:  Total population - Total:  Male:  22 to 24 years -- (Estimate)
b01001m10|SEX BY AGE - Universe:  Total population - Total:  Male:  22 to 24 years -- (Margin of Error)
b01001e11|SEX BY AGE - Universe:  Total population - Total:  Male:  25 to 29 years -- (Estimate)
b01001m11|SEX BY AGE - Universe:  Total population - Total:  Male:  25 to 29 years -- (Margin of Error)
b01001e12|SEX BY AGE - Universe:  Total population - Total:  Male:  30 to 34 years -- (Estimate)
b01001m12|SEX BY AGE - Universe:  Total population - Total:  Male:  30 to 34 years -- (Margin of Error)
b01001e13|SEX BY AGE - Universe:  Total population - Total:  Male:  35 to 39 years -- (Estimate)
b01001m13|SEX BY AGE - Universe:  Total population - Total:  Male:  35 to 39 years -- (Margin of Error)
b01001e14|SEX BY AGE - Universe:  Total population - Total:  Male:  40 to 44 years -- (Estimate)
b01001m14|SEX BY AGE - Universe:  Total population - Total:  Male:  40 to 44 years -- (Margin of Error)
b01001e15|SEX BY AGE - Universe:  Total population - Total:  Male:  45 to 49 years -- (Estimate)
b01001m15|SEX BY AGE - Universe:  Total population - Total:  Male:  45 to 49 years -- (Margin of Error)
b01001e16|SEX BY AGE - Universe:  Total population - Total:  Male:  50 to 54 years -- (Estimate)
b01001m16|SEX BY AGE - Universe:  Total population - Total:  Male:  50 to 54 years -- (Margin of Error)
b01001e17|SEX BY AGE - Universe:  Total population - Total:  Male:  55 to 59 years -- (Estimate)
b01001m17|SEX BY AGE - Universe:  Total population - Total:  Male:  55 to 59 years -- (Margin of Error)
b01001e18|SEX BY AGE - Universe:  Total population - Total:  Male:  60 and 61 years -- (Estimate)
b01001m18|SEX BY AGE - Universe:  Total population - Total:  Male:  60 and 61 years -- (Margin of Error)
b01001e19|SEX BY AGE - Universe:  Total population - Total:  Male:  62 to 64 years -- (Estimate)
b01001m19|SEX BY AGE - Universe:  Total population - Total:  Male:  62 to 64 years -- (Margin of Error)
b01001e20|SEX BY AGE - Universe:  Total population - Total:  Male:  65 and 66 years -- (Estimate)
b01001m20|SEX BY AGE - Universe:  Total population - Total:  Male:  65 and 66 years -- (Margin of Error)
b01001e21|SEX BY AGE - Universe:  Total population - Total:  Male:  67 to 69 years -- (Estimate)
b01001m21|SEX BY AGE - Universe:  Total population - Total:  Male:  67 to 69 years -- (Margin of Error)
b01001e22|SEX BY AGE - Universe:  Total population - Total:  Male:  70 to 74 years -- (Estimate)
b01001m22|SEX BY AGE - Universe:  Total population - Total:  Male:  70 to 74 years -- (Margin of Error)
b01001e23|SEX BY AGE - Universe:  Total population - Total:  Male:  75 to 79 years -- (Estimate)
b01001m23|SEX BY AGE - Universe:  Total population - Total:  Male:  75 to 79 years -- (Margin of Error)
b01001e24|SEX BY AGE - Universe:  Total population - Total:  Male:  80 to 84 years -- (Estimate)
b01001m24|SEX BY AGE - Universe:  Total population - Total:  Male:  80 to 84 years -- (Margin of Error)
b01001e25|SEX BY AGE - Universe:  Total population - Total:  Male:  85 years and over -- (Estimate)
b01001m25|SEX BY AGE - Universe:  Total population - Total:  Male:  85 years and over -- (Margin of Error)
b01001e26|SEX BY AGE - Universe:  Total population - Total:  Female: -- (Estimate)
b01001m26|SEX BY AGE - Universe:  Total population - Total:  Female: -- (Margin of Error)
b01001e27|SEX BY AGE - Universe:  Total population - Total:  Female:  Under 5 years -- (Estimate)
b01001m27|SEX BY AGE - Universe:  Total population - Total:  Female:  Under 5 years -- (Margin of Error)
b01001e28|SEX BY AGE - Universe:  Total population - Total:  Female:  5 to 9 years -- (Estimate)
